n,accuracy,hallucination_rate,accuracy_ci_low_bootstrap_examples,accuracy_ci_high_bootstrap_examples,ece,brier,parse_success_rate,refusal_rate,answer_rate,mean_latency_s,tokens_per_second,iga_gamma_mean,iga_gamma_max,iga_gate_mean,iga_gate_max,iga_pattern_mean,iga_active_heads,error_rate,model_id,benchmark,method,seed,evaluation_mode
300.0,0.5033333333333333,0.4966666666666667,0.44333333333333336,0.56,0.17705034931500754,0.27596985967502924,,0.0,1.0,2.007312161089794,0.0,1.744239274507219,31.25161981076905,0.41047202318906784,1.5466588946183522,123.60827838030728,32.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,iga_v2_lowrank_mc,1,choice
300.0,0.44,0.56,0.38666666666666666,0.49666666666666665,0.31044478168090184,0.33283872031100586,,0.0,1.0,1.8414705660901383,0.0,1.6883777730121756,36.80644678433737,0.41047202318906784,1.5466588946183522,124.1271999347571,32.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,iga_v2_lowrank_mc,2,choice
300.0,0.5133333333333333,0.4866666666666667,0.45658333333333334,0.57,0.20684182792901995,0.2900753708943743,,0.0,1.0,1.8826957580633703,0.0,1.603821889830358,27.08079027652741,0.41047202318906784,1.5466588946183522,118.75425655191594,32.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,iga_v2_lowrank_mc,3,choice
300.0,0.4633333333333333,0.5366666666666666,0.40991666666666665,0.5166666666666667,0.2626274799307188,0.3095759327331747,,0.0,1.0,1.4292630559627044,0.0,1.6749364986202933,29.918288218758324,0.41047202318906784,1.5466588946183522,126.3233919698542,32.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,iga_v3_entropy_sparse_mc,1,choice
300.0,0.44666666666666666,0.5533333333333333,0.39,0.5066666666666667,0.24027670482794442,0.29183900406267665,,0.0,1.0,1.2203059758119827,0.0,1.48201125938784,26.050868032195353,0.41047202318906784,1.5466588946183522,109.38345212127223,32.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,iga_v3_entropy_sparse_mc,2,choice
300.0,0.44,0.56,0.38333333333333336,0.49666666666666665,0.313575470050176,0.3340737002233997,,0.0,1.0,1.4482203004020267,0.0,1.3440754469506668,27.927115336042455,0.41047202318906784,1.5466588946183522,98.6928439018943,32.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,iga_v3_entropy_sparse_mc,3,choice
300.0,0.45666666666666667,0.5433333333333333,0.4,0.5166666666666667,0.3500000089406967,0.3708000048716864,1.0,0.0,1.0,18.535995475563784,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,self_consistency_mc,1,choice
300.0,0.44,0.56,0.38666666666666666,0.5,0.37600000937779743,0.3794666725715003,1.0,0.0,1.0,17.03894023139321,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,self_consistency_mc,2,choice
300.0,0.44333333333333336,0.5566666666666666,0.3899166666666667,0.5000833333333332,0.3860000079870224,0.4025333382368089,1.0,0.0,1.0,14.497614618306203,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,self_consistency_mc,3,choice
300.0,0.45666666666666667,0.5433333333333333,0.4,0.5166666666666667,0.26240035750158275,0.3394131066013592,1.0,0.0,1.0,21.458174193596303,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,semantic_entropy_mc,1,choice
300.0,0.44,0.56,0.38666666666666666,0.5,0.264755919950755,0.32492222562420164,1.0,0.0,1.0,15.553181499279454,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,semantic_entropy_mc,2,choice
300.0,0.44333333333333336,0.5566666666666666,0.3899166666666667,0.5000833333333332,0.2945669160050166,0.35390805720975677,1.0,0.0,1.0,19.7012672570796,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,semantic_entropy_mc,3,choice
300.0,0.35,0.65,0.2966666666666667,0.4066666666666667,0.29493383298317594,0.3166282463041367,,0.0,1.0,1.0834831790301056,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,temperature_mc,1,choice
300.0,0.35,0.65,0.2966666666666667,0.4066666666666667,0.29493383298317594,0.3166282463041367,,0.0,1.0,0.9700282304365343,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,temperature_mc,2,choice
300.0,0.35,0.65,0.2966666666666667,0.4066666666666667,0.29493383298317594,0.3166282463041367,,0.0,1.0,0.6336130981938913,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,temperature_mc,3,choice
300.0,0.35,0.65,0.2966666666666667,0.4066666666666667,0.24804922699928283,0.28831969541297386,,0.0,1.0,1.186325460273462,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,vanilla_mc,1,choice
300.0,0.35,0.65,0.2966666666666667,0.4066666666666667,0.24804922699928283,0.28831969541297386,,0.0,1.0,1.1553292980669843,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,vanilla_mc,2,choice
300.0,0.35,0.65,0.2966666666666667,0.4066666666666667,0.24804922699928283,0.28831969541297386,,0.0,1.0,0.7727059197435544,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,FEVER,vanilla_mc,3,choice
300.0,0.9133333333333333,0.08666666666666667,0.88,0.9433333333333334,0.05035773475964862,0.07012605544327322,,0.0,1.0,3.0867871485228533,0.0,0.6580520151307185,31.6293412361723,0.35054531137148537,1.7547216006120046,40.51283232356563,32.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,iga_v2_lowrank_mc,1,choice
300.0,0.95,0.050000000000000044,0.9233333333333333,0.9733333333333334,0.03953763981660209,0.041759225866316224,,0.0,1.0,3.9090945230299985,0.0,0.4784384932391571,22.748207214528865,0.35054531137148537,1.7547216006120046,29.892074208259583,32.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,iga_v2_lowrank_mc,2,choice
300.0,0.9466666666666667,0.053333333333333344,0.92,0.97,0.03559639056523639,0.05072412350729077,,0.0,1.0,3.1974522054066985,0.0,0.6665921753080505,33.328818611665206,0.35054531137148537,1.7547216006120046,41.14736783258842,32.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,iga_v2_lowrank_mc,3,choice
300.0,0.9333333333333333,0.06666666666666665,0.9033333333333333,0.96,0.04714149912198385,0.05702754603605191,,0.0,1.0,2.2645225443328187,0.0,0.5493715412530935,29.650044547572282,0.35054531137148537,1.7547216006120046,47.6372646334677,32.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,iga_v3_entropy_sparse_mc,1,choice
300.0,0.87,0.13,0.8333333333333334,0.9067499999999998,0.03518576502799986,0.0876781743968691,,0.0,1.0,1.9684656290283116,0.0,0.48794585890729325,28.986403828100727,0.35054531137148537,1.7547216006120046,41.50256157759464,32.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,iga_v3_entropy_sparse_mc,2,choice
300.0,0.8866666666666667,0.11333333333333329,0.85,0.92,0.056117264429728184,0.07982035452691406,,0.0,1.0,2.245100358372438,0.0,0.5097765500753214,29.82395956935304,0.35054531137148537,1.7547216006120046,42.90628969958335,32.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,iga_v3_entropy_sparse_mc,3,choice
300.0,0.7433333333333333,0.2566666666666667,0.6933333333333334,0.79,0.2093333361546199,0.2285333340644837,1.0,0.0,1.0,13.924954279736655,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,self_consistency_mc,1,choice
300.0,0.7433333333333333,0.2566666666666667,0.6933333333333334,0.7933333333333333,0.2053333363930384,0.23013333387374882,1.0,0.0,1.0,12.529417183882323,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,self_consistency_mc,2,choice
300.0,0.74,0.26,0.6866666666666666,0.79,0.21000000298023228,0.2249333344141643,1.0,0.0,1.0,12.447530296810049,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,self_consistency_mc,3,choice
300.0,0.7433333333333333,0.2566666666666667,0.6933333333333334,0.79,0.24969053284939052,0.25105168355424495,1.0,0.0,1.0,15.99152883178341,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,semantic_entropy_mc,1,choice
300.0,0.7433333333333333,0.2566666666666667,0.6933333333333334,0.7933333333333333,0.25273337221797343,0.2573264308544287,1.0,0.0,1.0,13.493122817536545,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,semantic_entropy_mc,2,choice
300.0,0.74,0.26,0.6866666666666666,0.79,0.22616353687289026,0.23494556509333384,1.0,0.0,1.0,12.891811364146415,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,semantic_entropy_mc,3,choice
300.0,0.59,0.41000000000000003,0.53,0.6466666666666666,0.16084421376387273,0.21383370799577708,,0.0,1.0,1.5391253588931675,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,temperature_mc,1,choice
300.0,0.59,0.41000000000000003,0.53,0.6466666666666666,0.16084421376387273,0.21383370799577708,,0.0,1.0,1.1619731726464428,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,temperature_mc,2,choice
300.0,0.59,0.41000000000000003,0.53,0.6466666666666666,0.16084421376387273,0.21383370799577708,,0.0,1.0,1.3790513758477756,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,temperature_mc,3,choice
300.0,0.59,0.41000000000000003,0.53,0.6466666666666666,0.13919333279132845,0.2059596176750303,,0.0,1.0,1.5051457384298557,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,vanilla_mc,1,choice
300.0,0.59,0.41000000000000003,0.53,0.6466666666666666,0.13919333279132845,0.2059596176750303,,0.0,1.0,1.3233349222286295,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,vanilla_mc,2,choice
300.0,0.59,0.41000000000000003,0.53,0.6466666666666666,0.13919333279132845,0.2059596176750303,,0.0,1.0,1.0123469189086851,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,HaluEval-QA,vanilla_mc,3,choice
149.0,0.48322147651006714,0.5167785234899329,0.40268456375838924,0.5704697986577181,0.13341074341895598,0.2434954291576773,,0.0,1.0,2.6971886258378186,0.0,0.993001671059056,14.48188563743112,0.42405704163864955,1.6038672291992495,53.45816633830788,32.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,TruthfulQA-MC1,iga_v2_lowrank_mc,1,choice
149.0,0.47651006711409394,0.5234899328859061,0.3958053691275168,0.5572147651006709,0.17047050635286626,0.24167119899293216,,0.0,1.0,3.5031721003824043,0.0,0.890730085609398,11.65779067758673,0.42405704163864955,1.6038672291992495,47.66985405764251,32.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,TruthfulQA-MC1,iga_v2_lowrank_mc,2,choice
149.0,0.48322147651006714,0.5167785234899329,0.40268456375838924,0.5637583892617449,0.13923431192868507,0.23693809365507512,,0.0,1.0,2.8803565673826363,0.0,1.2543394027131227,16.84098541991168,0.42405704163864955,1.6038672291992495,64.6444785250186,32.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,TruthfulQA-MC1,iga_v2_lowrank_mc,3,choice
149.0,0.47651006711409394,0.5234899328859061,0.3959731543624161,0.5637583892617449,0.15088847029529162,0.24527013240388282,,0.0,1.0,1.8905162967416465,0.0,0.8676513972089303,11.955321081969124,0.42405704163864955,1.6038672291992495,48.21503494860851,32.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,TruthfulQA-MC1,iga_v3_entropy_sparse_mc,1,choice
149.0,0.4563758389261745,0.5436241610738255,0.3691275167785235,0.5436241610738255,0.13879388520781627,0.23792886693100226,,0.0,1.0,1.862285142590998,0.0,1.1008644807285983,13.22174939533208,0.42405704163864955,1.6038672291992495,57.65006755575165,32.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,TruthfulQA-MC1,iga_v3_entropy_sparse_mc,2,choice
149.0,0.48322147651006714,0.5167785234899329,0.40268456375838924,0.5704697986577181,0.1154790995705048,0.24583965998469332,,0.0,1.0,1.9184840067036626,0.0,1.121493816357549,13.921746884998276,0.42405704163864955,1.6038672291992495,61.212941229088855,32.0,0.0,mistralai/Mistral-7B-Instruct-v0.3,TruthfulQA-MC1,iga_v3_entropy_sparse_mc,3,choice
149.0,0.5838926174496645,0.4161073825503355,0.5033557046979866,0.6644295302013423,0.2318902978761084,0.25345412156069846,0.8456375838926175,0.0,1.0,14.223354797831998,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,TruthfulQA-MC1,self_consistency_mc,1,choice
149.0,0.5906040268456376,0.4093959731543624,0.5100671140939598,0.6711409395973155,0.24400017065489854,0.26732883755337783,0.8053691275167785,0.0,1.0,13.154770978462363,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,TruthfulQA-MC1,self_consistency_mc,2,choice
149.0,0.6040268456375839,0.3959731543624161,0.5234899328859061,0.6845637583892618,0.2738375543747972,0.2989650542219773,0.8456375838926175,0.0,1.0,14.438700266798877,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,TruthfulQA-MC1,self_consistency_mc,3,choice
149.0,0.5838926174496645,0.4161073825503355,0.5033557046979866,0.6644295302013423,0.21748322554304772,0.24796503125744365,0.8456375838926175,0.0,1.0,15.289694409952917,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,TruthfulQA-MC1,semantic_entropy_mc,1,choice
149.0,0.5906040268456376,0.4093959731543624,0.5100671140939598,0.6711409395973155,0.22244472427867143,0.26323866958947284,0.8053691275167785,0.0,1.0,12.789880191551399,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,TruthfulQA-MC1,semantic_entropy_mc,2,choice
149.0,0.6040268456375839,0.3959731543624161,0.5234899328859061,0.6845637583892618,0.27118152035756976,0.2943107449792361,0.8456375838926175,0.0,1.0,14.301010563135954,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,TruthfulQA-MC1,semantic_entropy_mc,3,choice
149.0,0.3959731543624161,0.6040268456375839,0.31543624161073824,0.47651006711409394,0.12540476414181242,0.23992244569173432,,0.0,1.0,1.413826316576961,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,TruthfulQA-MC1,temperature_mc,1,choice
149.0,0.3959731543624161,0.6040268456375839,0.31543624161073824,0.47651006711409394,0.12540476414181242,0.23992244569173432,,0.0,1.0,1.3270431509993084,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,TruthfulQA-MC1,temperature_mc,2,choice
149.0,0.3959731543624161,0.6040268456375839,0.31543624161073824,0.47651006711409394,0.12540476414181242,0.23992244569173432,,0.0,1.0,0.994879538578922,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,TruthfulQA-MC1,temperature_mc,3,choice
149.0,0.3959731543624161,0.6040268456375839,0.31543624161073824,0.47651006711409394,0.08616858790784876,0.2326323416718927,,0.0,1.0,1.3289467309999683,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,TruthfulQA-MC1,vanilla_mc,1,choice
149.0,0.3959731543624161,0.6040268456375839,0.31543624161073824,0.47651006711409394,0.08616858790784876,0.2326323416718927,,0.0,1.0,0.560604894000118,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,TruthfulQA-MC1,vanilla_mc,2,choice
149.0,0.3959731543624161,0.6040268456375839,0.31543624161073824,0.47651006711409394,0.08616858790784876,0.2326323416718927,,0.0,1.0,1.184516421711813,0.0,,,,,,,0.0,mistralai/Mistral-7B-Instruct-v0.3,TruthfulQA-MC1,vanilla_mc,3,choice
